block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id14_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id14_time(us),aiv_scalar_wait_id3_time(us),
0,cube0,401.614990,722907,0.050000,0.000110,0.042222,0.000093,2.009444,0.004426,0.001111,0.000002,2574.920654,0.282222,0.000622,13.516644,0.117521,3.106111,0.006842,0.296111,0.241111,0.000000,0.000000,0.000000,0.000000,1.147778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550556,397.625000,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.791107,813224,0.036111,0.000080,3.129444,0.006893,5.332992,2.736111,0.006027,5.315403,0.000892,439.576111,0.968229,48.001110,120.660004,0.000000,0.000000,0.000000,0.000000,2.811111,0.051667,NA,NA,0.399444,3.692222,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.141663,723855,0.007778,0.000017,0.001111,0.000002,0.000000,0.001111,0.000002,0.000000,0.481132,3.270555,0.007204,0.021111,0.025000,0.000000,0.000000,0.000000,0.000000,0.921111,0.000000,NA,NA,144.971664,254.322784,
