block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id14_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id14_time(us),aiv_scalar_wait_id3_time(us),
0,cube0,401.675568,723016,0.050000,0.000110,0.042222,0.000093,1.992222,0.004388,0.001111,0.000002,2574.920654,0.305000,0.000672,12.507204,0.132632,3.322778,0.007319,0.297222,0.240556,0.000000,0.000000,0.000000,0.000000,0.815000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401667,396.343323,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.827789,813290,0.036111,0.000080,3.215556,0.007083,5.190176,2.809444,0.006188,5.176658,0.000927,439.484985,0.968029,47.979443,120.667221,0.000000,0.000000,0.000000,0.000000,3.311667,0.051667,NA,NA,0.438889,4.041111,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.190552,723943,0.007778,0.000017,0.001111,0.000002,0.000000,0.001111,0.000002,0.000000,0.508929,3.088889,0.006804,0.020000,0.025556,0.000000,0.000000,0.000000,0.000000,0.574444,0.000000,NA,NA,144.393326,254.433334,
